left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,Time,speed_left_ankle_x
-475.9928389,3832.830783,-92.52259805,-752.4948185,3946.683416,-147.7147528,-217.6208002,3586.439544,-496.9224804,-665.8306217,3810.22802,-640.937726,-27.1969795,3513.832927,-890.6891202,-549.1187825,3730.022283,-1039.740761,-20.28559398,3519.792006,-961.3053549,-509.5517736,3720.431172,-1088.766652,39.94971228,3412.67569,-1008.882443,-520.2744182,3542.902319,-1119.664301,8.436154949784791,3310.4871003124367
-474.8502711,3831.562754,-91.2499733,-750.2329431,3927.489875,-145.4694955,-157.8289879,3569.072093,-454.7042538,-665.2798612,3796.448781,-640.3905718,78.43198073,3474.614122,-787.0462938,-549.2493617,3729.495384,-1039.918069,84.78848266,3490.67766,-859.6615976,-511.6208595,3718.767591,-1088.066599,181.4850005,3384.085709,-888.7295054,-521.4079512,3550.177444,-1122.886031,8.470588235294118,3067.6410533461917
-474.730274,3835.023472,-87.30894819,-750.3063443,3918.913637,-142.9261703,-108.9168801,3536.638645,-394.2534962,-665.5727969,3789.487793,-638.3904244,165.9174256,3485.901747,-692.4494132,-548.902408,3727.130952,-1039.365605,175.9907746,3531.557578,-771.0940761,-513.4141467,3717.827182,-1087.379841,283.7581932,3367.910029,-756.7755455,-519.4540901,3550.434076,-1122.691343,8.505021520803442,2540.7231280996657
-474.120133,3836.335056,-80.84793951,-750.2320323,3912.069616,-140.8615133,-77.5596286,3523.048091,-335.2330846,-665.5722343,3785.906184,-636.2128375,230.9136273,3540.930078,-621.6117468,-548.9178077,3727.043025,-1039.89521,248.6027492,3605.649026,-703.8706945,-515.9858385,3722.910761,-1088.834967,349.5082706,3370.742317,-636.8452379,-517.4173808,3555.898902,-1125.194111,8.539454806312769,1887.5980243707972
-472.3695856,3834.021708,-71.98079969,-749.7199492,3907.073616,-139.4696004,-64.35954637,3544.524365,-288.6107711,-666.9680345,3789.031988,-633.4993783,271.215738,3580.228941,-554.6625112,-550.3208268,3731.141683,-1042.255174,295.4196245,3634.461664,-634.4858269,-520.0100121,3732.663996,-1092.566086,391.590379,3332.703127,-518.9055791,-517.1249945,3565.509459,-1129.679318,8.573888091822095,1170.4404649124772
-469.2856383,3829.162428,-61.76695987,-749.6771907,3908.596375,-138.4088214,-65.81806201,3584.820224,-251.2984071,-669.1452978,3796.633486,-628.7605703,282.7782034,3576.838194,-479.1302285,-552.6417057,3736.916316,-1044.756122,308.8662627,3607.596111,-555.2274742,-524.5189289,3741.422079,-1095.866921,406.2006501,3220.616406,-398.9783339,-517.3020703,3572.697334,-1132.693092,8.60832137733142,335.7932659916778
-465.1785159,3821.621518,-52.09174979,-750.0593175,3914.240838,-136.807595,-76.02852082,3614.13925,-216.3660715,-669.30663,3800.30082,-622.3686381,268.0904196,3526.353469,-402.1320697,-554.4719128,3740.896317,-1045.475246,292.2116253,3548.990035,-477.3616991,-528.1490483,3746.33622,-1096.911566,386.5264016,3070.569591,-292.5107326,-516.574221,3575.399379,-1133.305931,8.642754662840746,-426.55772119165783
-461.1132642,3810.885965,-44.48422009,-749.7372004,3915.019799,-134.0083379,-90.15045576,3618.597266,-183.9105303,-666.9530721,3796.889558,-616.9336039,233.1399977,3379.454086,-322.2076388,-554.8858588,3741.42527,-1044.191885,253.8204849,3410.588168,-393.8876976,-530.1996551,3747.858459,-1096.239113,341.555619,2902.917956,-205.3439223,-515.0375493,3575.036177,-1132.476982,8.67718794835007,-1015.0185026792
-458.2062068,3798.310547,-39.46702564,-748.1635371,3906.97531,-130.3730483,-105.2105398,3610.895786,-161.790017,-664.6163607,3791.342658,-614.3931902,183.6690449,3126.992037,-236.7157769,-554.1388138,3739.231136,-1042.172259,200.8009209,3157.610555,-295.6532697,-530.7101,3746.935458,-1095.082471,289.2333088,2700.604759,-131.9950236,-513.3222591,3572.931573,-1130.988337,8.711621233859397,-1436.7189208999732
-456.5947008,3786.794748,-36.79875929,-746.2084552,3896.066609,-127.0719106,-114.7140458,3616.362158,-158.1274033,-664.3649142,3788.559178,-614.2551008,145.7381452,2953.834088,-187.6565773,-553.3658385,3736.969374,-1041.058208,160.8143028,2959.176105,-232.3848135,-530.4922624,3745.158802,-1094.49452,256.2411434,2542.244683,-93.79297811,-511.8785035,3570.247615,-1129.441568,8.746054519368723,-1101.5765454541456
