0_pos_x,0_pos_y,0_pos_z
-1425.928223,1021.916199,1206.691528
-1420.409058,1023.06958,1205.85022
-1415.067871,1024.506958,1204.890869
-1409.206299,1025.473145,1204.098633
-1403.683594,1026.61084,1203.180054
-1398.083374,1027.807495,1202.21936
-1392.821899,1029.063721,1201.193237
-1387.148804,1030.057373,1200.269531
-1381.660889,1031.229126,1199.215088
-1375.960205,1032.238892,1197.852661
-1370.524292,1033.372559,1196.713501
-1364.924805,1034.534912,1195.54895
-1358.632935,1035.972046,1193.958496
-1353.179321,1037.095215,1192.713379
-1348.004761,1038.262573,1191.716309
-1342.927124,1039.564087,1190.659058
-1337.600342,1040.581055,1189.51062
-1332.315796,1041.692871,1188.281494
-1327.116455,1042.761475,1187.025635
-1322.189941,1044.122314,1185.688843
-1316.647461,1044.955811,1184.482422
-1311.498047,1046.033325,1183.200073
-1306.369507,1047.116699,1181.838623
-1301.503296,1048.251831,1180.438965
-1297.095703,1048.996826,1178.988647
-1292.509888,1050.028931,1177.432007
-1287.54834,1051.12146,1175.976196
-1282.533691,1052.21167,1174.499146
-1277.404053,1053.256958,1172.964233
-1272.399902,1054.415283,1171.50708
-1267.391479,1055.541504,1169.96106
-1262.363647,1056.608643,1168.368652
-1257.423828,1057.766846,1166.700195
-1252.201904,1058.625488,1165.141479
-1246.826538,1059.252441,1163.909302
-1242.271729,1060.767334,1161.890381
-1237.728027,1062.255371,1159.957642
-1232.678833,1063.20874,1158.091431
-1227.571533,1064.274902,1155.946289
-1222.703735,1065.434082,1154.059937
-1217.959595,1066.682983,1152.102295
-1212.853882,1067.799438,1149.977295
-1207.755371,1068.86145,1148.009155
-1202.813599,1070.043091,1145.907104
-1197.863037,1071.237305,1143.814331
-1192.914917,1072.410034,1141.632202
-1187.53894,1073.234985,1139.794434
-1183.016113,1074.875366,1137.329468
-1178.183228,1076.0802,1135.032227
-1173.204468,1077.298828,1132.757446
-1168.669922,1078.490845,1130.582275
-1164.171875,1079.83252,1128.428589
-1159.587036,1081.074341,1126.174805
-1155.059692,1082.603149,1123.757813
-1149.988647,1083.658447,1121.445557
-1144.577881,1085.170654,1118.75293
-1139.850952,1086.475342,1116.27832
-1135.1875,1087.930786,1113.832886
-1131.027954,1089.334717,1111.898315
-1126.875,1090.733643,1109.645386
-1122.271484,1092.064575,1107.102173
-1117.838745,1093.352783,1104.756104
-1113.12085,1094.599487,1102.192993
-1108.4104,1095.925537,1099.553101
-1103.508423,1097.252686,1096.723633
-1098.87146,1098.503784,1094.130127
-1094.229492,1099.918823,1091.350708
-1089.557617,1101.122559,1088.600464
-1085.381348,1102.227295,1085.87561
-1080.624146,1103.545044,1083.056885
-1076.161621,1105.11731,1080.149292
-1070.830688,1106.199097,1077.273315
-1065.76355,1107.376587,1074.731934
-1060.878662,1108.637451,1071.815796
-1056.483643,1110.082764,1069.005493
-1052.419556,1111.034424,1066.251953
-1048.064209,1112.549927,1063.10437
-1043.475098,1113.772461,1060.247803
-1038.863647,1115.076416,1057.42627
-1034.448975,1116.250244,1054.556274
-1030.046753,1117.494751,1051.784424
-1025.533081,1118.760986,1048.959717
-1021.113953,1119.946411,1046.210815
-1016.908325,1121.216675,1043.406738
-1012.526184,1122.236206,1040.689819
-1008.236206,1123.369995,1037.93811
-1003.943604,1124.453369,1035.181519
-999.897156,1125.815552,1032.373657
-995.421448,1126.605957,1029.732788
-990.919434,1127.690063,1026.719482
-986.869995,1128.670654,1024.279053
-982.820679,1129.756714,1021.567505
-978.732422,1130.475708,1018.990906
