freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508604167, 0, -1873.504517, 876.263794, 1192.150635, 1, 0, 0, 0, 12.30
M, 508608333, 0, -1869.715088, 878.320068, 1192.168091, 1, 0, 0, 0, 12.28
M, 508612500, 0, -1865.834595, 880.337646, 1192.248047, 1, 0, 0, 0, 12.26
M, 508616667, 0, -1861.892334, 882.403259, 1192.364868, 1, 0, 0, 0, 12.24
M, 508620833, 0, -1858.115112, 884.408875, 1192.456909, 1, 0, 0, 0, 12.22
M, 508625000, 0, -1854.053589, 886.482056, 1192.614380, 1, 0, 0, 0, 12.20
M, 508629167, 0, -1850.099731, 888.546753, 1192.788330, 1, 0, 0, 0, 12.18
M, 508633333, 0, -1846.106934, 890.610840, 1192.945557, 1, 0, 0, 0, 12.16
M, 508637500, 0, -1842.049927, 892.665100, 1193.137817, 1, 0, 0, 0, 12.14
M, 508641667, 0, -1838.025269, 894.753967, 1193.311890, 1, 0, 0, 0, 12.12
M, 508645833, 0, -1833.890747, 896.820862, 1193.521729, 1, 0, 0, 0, 12.10
M, 508650000, 0, -1829.707275, 898.880676, 1193.764282, 1, 0, 0, 0, 12.08
M, 508654167, 0, -1825.318237, 900.926270, 1194.050415, 1, 0, 0, 0, 12.05
M, 508658333, 0, -1820.952271, 903.005554, 1194.306763, 1, 0, 0, 0, 11.87
M, 508662500, 0, -1816.863159, 905.025146, 1194.552002, 1, 0, 0, 0, 11.85
M, 508666667, 0, -1812.726685, 906.961670, 1194.994385, 1, 0, 0, 0, 12.47
M, 508670833, 0, -1808.440063, 908.964661, 1195.287231, 1, 0, 0, 0, 12.45
M, 508675000, 0, -1804.133545, 911.041016, 1195.640747, 1, 0, 0, 0, 12.43
M, 508679167, 0, -1799.056885, 913.013062, 1195.889648, 1, 0, 0, 0, 13.37
M, 508683333, 0, -1794.112793, 915.044128, 1196.145752, 1, 0, 0, 0, 13.35
M, 508687500, 0, -1789.595947, 917.047424, 1196.548340, 1, 0, 0, 0, 13.32
M, 508691667, 0, -1784.869141, 919.194336, 1196.843140, 1, 0, 0, 0, 12.56
M, 508695833, 0, -1780.299805, 921.235535, 1197.208862, 1, 0, 0, 0, 12.54
M, 508700000, 0, -1775.548096, 923.211792, 1197.701782, 1, 0, 0, 0, 12.51
